GEOID,TotPop,TotUnder5,Hispanic,BlackAloneOrCombo,AsianAloneOrCombo,AmerIndAloneorCombo,NatHawAloneOrCombo,ratioUnder5
48029151200,10227,502,9233,102,19,61,0,4.90857534
48029151301,5639,410,5268,0,0,72,0,7.270792694
48029151302,3623,268,3289,5,0,36,0,7.397184654
48029151400,5089,397,4514,53,0,173,0,7.801139713
48029151500,2844,227,2415,167,11,357,44,7.981715893
48029151600,7954,711,6914,52,19,108,11,8.938898667
48029151700,7323,396,5959,1,7,23,0,5.407619828
48029151900,6924,429,5755,139,469,155,0,6.195840555
48029152000,2993,297,2420,208,27,81,0,9.923154026
48029152100,5032,240,3880,152,147,12,9,4.769475358
48029152201,7595,570,6113,162,33,183,46,7.504937459
48029152202,5141,531,4162,166,9,173,0,10.32872982
48029160100,7188,697,7097,0,0,209,0,9.69671675
48029160200,2995,225,2880,7,1,4,0,7.512520868
48029160300,5349,263,5121,0,44,39,0,4.91680688
48029160400,4886,368,4591,85,1,325,0,7.531723291
48029160501,4544,451,4224,25,33,4,0,9.925176056
48029160502,4300,424,4192,35,1,24,0,9.860465116
48029160600,5288,496,5237,10,28,8,0,9.379727685
48029160701,3802,172,3758,7,0,94,0,4.523934771
48029160702,5296,383,5021,147,8,79,0,7.231873112
48029160901,3006,167,2920,46,0,0,0,5.555555556
48029160902,5189,487,5012,17,14,155,0,9.385238003
48029161000,4159,420,3720,57,0,0,0,10.09858139
48029161100,8740,138,8320,126,20,546,0,1.578947368
48029161200,2928,265,2495,115,21,40,0,9.050546448
48029161302,5960,345,5238,378,72,58,10,5.788590604
48029161303,4902,269,4559,192,0,118,0,5.4875561
48029161304,4746,359,4500,0,12,58,0,7.564264644
48029161400,6454,310,1289,1422,443,180,185,4.803222808
48029161501,8255,908,7181,141,12,36,0,10.99939431
48029161503,5070,520,4320,270,55,4,0,10.25641026
48029161504,4723,440,4044,188,78,64,0,9.31611264
48029161600,4788,381,3798,278,134,66,29,7.957393484
48029161801,4458,413,3318,489,65,82,0,9.264244056
48029161802,10220,1037,7707,609,116,139,83,10.14677104
48029161901,1109,85,950,0,0,0,0,7.664562669
48029161902,10445,800,7204,722,39,78,0,7.659167066
48029162001,2310,225,1688,69,0,57,0,9.74025974
48029162003,5231,326,4076,129,44,88,0,6.232077997
48029162004,3852,431,3180,50,0,91,0,11.18899273
48029170101,3712,213,3545,138,0,153,0,5.738146552
48029170102,3619,292,3481,2,1,7,0,8.068527217
48029170200,5507,224,5427,23,31,107,0,4.06755039
